tempo,theta_numerico,theta_analitico
0.0000000000,1.0000000000,1.0000000000
0.0100000000,0.9995872767,0.9995095401
0.0300000000,0.9962868045,0.9955887470
0.0700000000,0.9798196742,0.9760616221
0.1500000000,0.9080785099,0.8916526034
0.2500000000,0.7496143396,0.7087842876
0.3500000000,0.5249142367,0.4569507996
0.4500000000,0.2516528593,0.1606557017
0.5500000000,-0.0456784044,-0.1512713005
0.6500000000,-0.3385990737,-0.4484795068
0.7500000000,-0.5993920927,-0.7020503654
0.8500000000,-0.8054670994,-0.8873112668
0.9500000000,-0.9413713916,-0.9862362050
1.0500000000,-0.9984213675,-0.9891997190
1.1500000000,-0.9733777021,-0.8959134570
1.2500000000,-0.8676314424,-0.7154542330
1.3500000000,-0.6875797212,-0.4653808469
1.4500000000,-0.4458910820,-0.1700256017
1.5500000000,-0.1624490831,0.1418732452
1.6500000000,0.1366201893,0.4399677330
1.7500000000,0.4225313418,0.6952530742
1.8500000000,0.6687502995,0.8828898392
1.9500000000,0.8547734751,0.9846208487
2.0500000000,0.9673245378,0.9905476092
2.1500000000,0.9995165570,0.9000934431
